# Door Parts
11 exploded diagrams | BG5P Legacy GL EJ20E SOHC NA

## Parts by Diagram

### 600_01: FRONT DOOR PANEL
63301AC011 | WEATHER STRIP-DOOR REAR OUTER LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25
62305FA000 | SCREW GROMMET x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
902600002 | NUT x12 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62303FA000 | STABILIZER ASSEMBLY-OUTER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC020 | SASH COMPLETE-DOOR PARTITION RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC030 | SASH COMPLETE-DOOR PARTITION,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC000 | SASH ASSEMBLY-REAR DOOR FRONT RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63300AC010 | SASH ASSEMBLY-REAR DOOR FRONT LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62304FA001 | STABILIZER ASSEMBLY-DOOR,INNER x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
904510047 | TAPPING SCREW-TRUSS HEAD x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
63310AC010 | SEALING COVER-REAR DOOR x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.GL
010006160 | FLANGE BOLT-PILOT
901000165 | FLANGE BOLT x04 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)
62307AC010 | CLIP-WEATHER STRIP,OUTER LEFT x06 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(GL+25+OBK)

### 611_01: REAR DOOR PARTS (GLASS & REGULATOR)
63210AC080NA | GLASS ASSEMBLY-REAR DOOR,RIGHT x01 | 02.1997 - 11.1998 | S.2W +S.25
63210AC090NA | GLASS ASSEMBLY-REAR DOOR,LEFT x01 | 02.1997 - 11.1998 | S.2W +S.25
62250AA000 | SLIDER-FRONT GLASS x02 | 02.1997 - 11.1998 | S.2W +S.25 +W.2W +W.LX.A/S +W.(25+OBK)
63112AC000 | REGULATOR ASSEMBLY-REAR,RIGHT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
63112AC010 | REGULATOR ASSEMBLY-REAR,LEFT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
023706000 | FLANGE NUT
85511AC020 | MOTOR ASSEMBLY-REGULATOR REAR RIGHT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
85511AC030 | MOTOR ASSEMBLY-REGULATOR REAR LEFT x01 | 02.1997 - 11.1998 | S.2W.GL +S.25 +W.2W.GL +W.(25+OBK) +W.LX.A/S
901000040 | FLANGE BOLT x16 | 02.1997 - 11.1998 | S +W
043506120 | SCREW AND WASHER ASSEMBLY

### 612_01: REAR DOOR PARTS (LATCH & HANDLE)
904650001 | SCREW x04 | 02.1997 - 08.1998 | S +W
904650003 | SCREW x04 | 09.1998 - 11.1998 | S +W
904210030 | SCREW-OVAL HEAD x06 | 02.1997 - 11.1998 | S +W
